variedad,ubicacion,temporada,riego,inoculante,aplicacion_fungicida,lote_numero,rinde_kg_ha
Pampeador,Pergamino,2022/23,sin_riego,Control,True,L1,8222.3
Pampeador,Pergamino,2023/24,sin_riego,Control,True,L2,7641.6
Pampeador,Pergamino,2023/24,sin_riego,Control,False,L2,6910.5
Pampeador,Pergamino,2024/25,sin_riego,Control,False,L3,8178.9
Pampeador,Pergamino,2022/23,con_riego,Control,True,L1,9352.1
Pampeador,Pergamino,2022/23,con_riego,Control,False,L3,8478.1
Pampeador,Pergamino,2023/24,con_riego,Control,True,L1,8630.0
Pampeador,Pergamino,2024/25,con_riego,Control,True,L2,9761.5
Pampeador,Pergamino,2022/23,sin_riego,NitroMax,False,L3,8148.9
Pampeador,Pergamino,2023/24,sin_riego,NitroMax,False,L3,6606.2
Pampeador,Pergamino,2024/25,sin_riego,NitroMax,True,L2,8010.6
Pampeador,Pergamino,2024/25,sin_riego,NitroMax,False,L1,8165.8
Pampeador,Pergamino,2022/23,con_riego,NitroMax,False,L2,8253.7
Pampeador,Pergamino,2024/25,con_riego,NitroMax,True,L1,8849.7
Pampeador,Pergamino,2024/25,con_riego,NitroMax,False,L3,8563.9
Pampeador,Pergamino,2022/23,sin_riego,BioRaiz,True,L3,8717.7
Pampeador,Pergamino,2022/23,sin_riego,BioRaiz,False,L2,8051.3
Pampeador,Pergamino,2023/24,sin_riego,BioRaiz,True,L2,7767.8
Pampeador,Pergamino,2023/24,sin_riego,BioRaiz,False,L3,7241.2
Pampeador,Pergamino,2024/25,sin_riego,BioRaiz,False,L2,8030.5
Pampeador,Pergamino,2022/23,con_riego,BioRaiz,False,L1,8783.7
Pampeador,Pergamino,2024/25,con_riego,BioRaiz,True,L3,10338.9
Pampeador,Pergamino,2024/25,con_riego,BioRaiz,False,L1,9263.3
Pampeador,Pergamino,2022/23,sin_riego,TerraFix,True,L3,8368.3
Pampeador,Pergamino,2022/23,sin_riego,TerraFix,False,L3,7463.1
Pampeador,Pergamino,2023/24,sin_riego,TerraFix,False,L2,6897.9
Pampeador,Pergamino,2024/25,sin_riego,TerraFix,True,L1,8070.2
Pampeador,Pergamino,2022/23,con_riego,TerraFix,True,L3,8327.5
Pampeador,Pergamino,2022/23,con_riego,TerraFix,False,L2,8164.2
Pampeador,Pergamino,2023/24,con_riego,TerraFix,True,L1,7913.0
Pampeador,Pergamino,2024/25,con_riego,TerraFix,True,L2,8590.1
Pampeador,Pergamino,2024/25,con_riego,TerraFix,False,L3,8365.3
