"id" "condition" "sustrate" "activity"
"1" 1 "A" 3 17.2588138584313
"2" 1 "A" 5 33.0588824729103
"3" 1 "A" 10 37.1376535851057
"4" 1 "A" 15 64.1528012121965
"5" 1 "A" 20 51.2774858109691
"6" 1 "A" 25 78.9667891610025
"7" 1 "A" 30 62.0220917087056
"8" 1 "A" 35 75.4803695947534
"9" 2 "A" 3 23.977143989213
"10" 2 "A" 5 35.020100003704
"11" 2 "A" 10 50.6006409815497
"12" 2 "A" 15 66.5420515153457
"13" 2 "A" 20 79.9595957218183
"14" 2 "A" 25 76.0504436407224
"15" 2 "A" 30 72.879109919913
"16" 2 "A" 35 82.8097126586998
"17" 3 "A" 3 19.4028614914244
"18" 3 "A" 5 39.5892444265199
"19" 3 "A" 10 46.267717204578
"20" 3 "A" 15 55.8173188942417
"21" 3 "A" 20 77.478463822438
"22" 3 "A" 25 47.3182634283185
"23" 3 "A" 30 74.8962180547427
"24" 3 "A" 35 90.0272533274195
"25" 4 "A" 3 25.3183550369374
"26" 4 "A" 5 37.6438151734525
"27" 4 "A" 10 51.2957193910938
"28" 4 "A" 15 58.1630861575058
"29" 4 "A" 20 81.7344668536505
"30" 4 "A" 25 65.098978684435
"31" 4 "A" 30 75.5920517972498
"32" 4 "A" 35 86.8918094579421
"33" 5 "A" 3 19.2780837057129
"34" 5 "A" 5 23.4736848977008
"35" 5 "A" 10 57.2594794424203
"36" 5 "A" 15 65.5475039089286
"37" 5 "A" 20 74.2905253310237
"38" 5 "A" 25 71.0143296657645
"39" 5 "A" 30 65.0423451356465
"40" 5 "A" 35 80.9554288062549
"41" 6 "A" 3 25.9546731830223
"42" 6 "A" 5 41.5525743017192
"43" 6 "A" 10 41.0461132961839
"44" 6 "A" 15 60.0150348702121
"45" 6 "A" 20 66.6336649699779
"46" 6 "A" 25 82.8585639820945
"47" 6 "A" 30 74.5266340607121
"48" 6 "A" 35 75.806501461924
"49" 7 "A" 3 23.3338989716253
"50" 7 "A" 5 42.159134573573
"51" 7 "A" 10 57.904625484813
"52" 7 "A" 15 65.7493153468887
"53" 7 "A" 20 67.7644641571039
"54" 7 "A" 25 70.3247007713815
"55" 7 "A" 30 80.522654233778
"56" 7 "A" 35 69.4396273681539
"57" 8 "B" 3 18.5300351985034
"58" 8 "B" 5 12.1413521322006
"59" 8 "B" 10 19.3629686796857
"60" 8 "B" 15 33.3835729450578
"61" 8 "B" 20 56.104924879576
"62" 8 "B" 25 46.0724338351067
"63" 8 "B" 30 44.5175619132931
"64" 8 "B" 35 52.7535797246052
"65" 9 "B" 3 3.63741303430984
"66" 9 "B" 5 3.6706952360751
"67" 9 "B" 10 28.6081762953854
"68" 9 "B" 15 24.6322203245277
"69" 9 "B" 20 51.0252512227419
"70" 9 "B" 25 39.9897993228641
"71" 9 "B" 30 37.1101742329608
"72" 9 "B" 35 56.5511501311446
"73" 10 "B" 3 6.44660155733511
"74" 10 "B" 5 23.5686835477878
"75" 10 "B" 10 25.1613219946624
"76" 10 "B" 15 33.4182750423359
"77" 10 "B" 20 44.7960706731405
"78" 10 "B" 25 40.5646634538013
"79" 10 "B" 30 41.3898255721648
"80" 10 "B" 35 58.6856695892821
"81" 11 "B" 3 3.11150142790166
"82" 11 "B" 5 25.1369800981061
"83" 11 "B" 10 13.0258766525408
"84" 11 "B" 15 34.214805193275
"85" 11 "B" 20 39.6812376916241
"86" 11 "B" 25 48.7968159351099
"87" 11 "B" 30 52.3103787474198
"88" 11 "B" 35 52.7568620370743
"89" 12 "B" 3 3.80432321154375
"90" 12 "B" 5 7.26052064569637
"91" 12 "B" 10 18.9864801501299
"92" 12 "B" 15 25.1514827630239
"93" 12 "B" 20 41.5360166333396
"94" 12 "B" 25 49.2092899511266
"95" 12 "B" 30 41.4791934954738
"96" 12 "B" 35 57.5377509711311
"97" 13 "B" 3 11.9340737705226
"98" 13 "B" 5 15.2761110411482
"99" 13 "B" 10 24.4928901595392
"100" 13 "B" 15 27.4625065672454
"101" 13 "B" 20 39.6312285671562
"102" 13 "B" 25 36.7025830367453
"103" 13 "B" 30 44.8907264678513
"104" 13 "B" 35 57.3882655199755
"105" 14 "B" 3 7.81454622082545
"106" 14 "B" 5 30.8509053035121
"107" 14 "B" 10 28.8623338793517
"108" 14 "B" 15 32.0353935692177
"109" 14 "B" 20 39.8772994497168
"110" 14 "B" 25 52.7255206761935
"111" 14 "B" 30 51.5681058038846
"112" 14 "B" 35 56.1417394011536
